Industry,Location,Name,Description,Stars (out of 5),Number of Reviews,Address,Phone,Emails,Website,Price Range
Churros,"Los Angeles, CA",Mr. Churro,Churrería,4.3,493,"E-12 Olvera St # C, Los Angeles, CA 90012, Estados Unidos","
+1 213-680-9036",,,·$
Churros,"Los Angeles, CA",Ridges Churro Bar,Tienda de postres,2.8,4,"Los Angeles, CA 90014, Estados Unidos",,,http://instagram.com/ridgeschurrobar,
Churros,"Los Angeles, CA",Churro Factory,Churrería,5,1,"5333 Zoo Dr, Los Angeles, CA 90027, Estados Unidos",,,,
Churros,"Los Angeles, CA",La Churreria,Tienda de postres,3.7,3,"532 S Olive St, Los Angeles, CA 90013, Estados Unidos",,,,
Churros,"Los Angeles, CA",Churros Calientes,Churrería,4.5,578,"11521 Santa Monica Blvd, Los Angeles, CA 90025, Estados Unidos","
+1 424-248-3890",churros@churroscalientes.com,http://churroscalientes.com/,·$
Churros,"Los Angeles, CA",Churros El Gorilla,Restaurante de postres,5,12,"5525 Sunset Blvd, Los Angeles, CA 90028, Estados Unidos","
+1 747-258-8650",,,
Churros,"Los Angeles, CA",Juanitos churros,Restaurante,,,"443 S Soto St, Los Angeles, CA 90033, Estados Unidos",,,,
Churros,"Los Angeles, CA",Churros Estilo Guadalajara,Tienda de postres,4.8,10,"4025 S Central Ave, Los Angeles, CA 90011, Estados Unidos","
+1 323-604-8135",,,
Churros,"Los Angeles, CA",Churrito loco,Restaurante de postres,4.6,38,"5161 Pomona Blvd # 105, East Los Angeles, CA 90022, Estados Unidos",,"eatchurritoloco@gmail.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",http://www.eatchurritoloco.com/,·$$
Churros,"Los Angeles, CA",Churros El Bochito,Restaurante,4.2,21,"1157 Cypress Ave, Los Angeles, CA 90065, Estados Unidos","
+1 213-820-0172",,,
Churros,"Los Angeles, CA",crepes n churros,Crepería,3.5,11,"2744 1st St, Los Angeles, CA 90033, Estados Unidos","
+1 323-338-1863",,,
Churros,"Los Angeles, CA",Sr. Churro,Restaurante,4.7,21,"11019 S Alameda St, Los Angeles, CA 90059, Estados Unidos","
+1 323-629-1092",,,
Churros,"Los Angeles, CA",Chevitos Churros Y Mas,Restaurante,3.7,3,"10816 S Vermont Ave Suite A, Los Angeles, CA 90044, Estados Unidos","
+1 310-425-6784","Chevitoschurrosymas@gmail.com,13e49d785d8d4f828038b6136f3b48ba@sentry.io",https://chevitoschurrosymas.square.site/s/order?location=11ecc502ceb8d13fba48ac1f6bbbd01e&customer_seat_id=11ecc7c2201f56a6a53c166a33ea969f,
Churros,"Los Angeles, CA",Salinas Churros,Churrería,3.7,34,"918 S Lorena St, Los Angeles, CA 90023, Estados Unidos",,,https://instagram.com/salinaschurros?igshid=YmMyMTA2M2Y=,
Churros,"Los Angeles, CA",Churros,Cafetería,,,"1261 Maple Ave, Los Angeles, CA 90015, Estados Unidos",,,,
Churros,"Los Angeles, CA",Churros carrusel,Tienda de postres,4.5,15,"Churros carrusel, Los Angeles, CA 90003, Estados Unidos",,,,
Churros,"Los Angeles, CA",Churro Man,Tienda de postres,,,"14440 Burbank Blvd, Los Angeles, CA 91401, Estados Unidos",,info@elchurroman.com,http://www.elchurroman.com/,
Churros,"Los Angeles, CA",Churros el torrrro,Tienda de postres,4.5,2,"1104 Hoover St, Los Angeles, CA 90006, Estados Unidos","
+1 213-531-6707",,,
Churros,"Los Angeles, CA",Churros y platanos,Churrería,5,17,"Los Angeles, CA 90034, Estados Unidos",,,,
Churros,"Los Angeles, CA",The Churros Bros,Churrería,3.7,3,"738 S Fetterly Ave, Los Angeles, CA 90022, Estados Unidos",,,,
Churros,"Los Angeles, CA",Churros Don Abel,Churrería,4.7,625,"5458 Whittier Blvd, Los Angeles, CA 90022, Estados Unidos","
+1 562-612-5991",,https://instagram.com/churrosdonabel?utm_source=ig_profile_share&igshid=178q1knhqf1px,·$
Churros,"Los Angeles, CA",Azucanela Churros & Coffee - Culver City (Westfield Mall),Tienda de postres,4.5,28,"Westfield Mall(2nd Floor next to macys, 6000 Sepulveda Blvd #2507, Culver City, CA 90230, Estados Unidos","
+1 310-313-3619",info@azucanela.com,https://www.azucanela.com/,
Churros,"Los Angeles, CA",Churro Hub Cafe',Cafetería,4.1,192,"9007 Woodman Ave, Arleta, CA 91331, Estados Unidos",,,http://www.churrohubcafe.com/,·$
Churros,"Los Angeles, CA",Horchateria Rio Luna. Lobby open 9am everyday. Drive Thru Open 7am M-F and 9am Sat &Sun,Tienda de postres,4.4,"2,064","15950 Paramount Blvd, Paramount, CA 90723, Estados Unidos","
+1 562-663-9043","onlineorders@horchateriarl.com,ash@horchateriarl.com,NANCY@HORCHATERIARL.COM,Amber@horchateriarl.com",http://www.horchateriarl.com/,·$$
Churros,"Los Angeles, CA",The Churro Man,Mobile caterer,5,9,"2600 W Victory Blvd, Burbank, CA 91505, Estados Unidos","
+1 818-600-1163",info@elchurroman.com,http://www.elchurroman.com/,
Churros,"Los Angeles, CA",It's Churro,Churrería,4.9,37,"9301 Tampa Ave, Northridge, CA 91324, Estados Unidos",,,http://itschurro.com/,
Churros,"Los Angeles, CA",The Churro Joint,Churrería,4.7,19,"905 S Prairie Ave Ste. D, Inglewood, CA 90301, Estados Unidos","
+1 424-227-8069",,,
