"E-12 Olvera St # C, Los Angeles, CA 90012, Estados Unidos","Los Angeles, CA 90014, Estados Unidos","532 S Olive St, Los Angeles, CA 90013, Estados Unidos","5525 Sunset Blvd, Los Angeles, CA 90028, Estados Unidos","4025 S Central Ave, Los Angeles, CA 90011, Estados Unidos","1157 Cypress Ave, Los Angeles, CA 90065, Estados Unidos","2744 1st St, Los Angeles, CA 90033, Estados Unidos","11019 S Alameda St, Los Angeles, CA 90059, Estados Unidos","918 S Lorena St, Los Angeles, CA 90023, Estados Unidos","Churros carrusel, Los Angeles, CA 90003, Estados Unidos","1104 Hoover St, Los Angeles, CA 90006, Estados Unidos","5333 Zoo Dr, Los Angeles, CA 90027, Estados Unidos","Los Angeles, CA 90034, Estados Unidos","6101 S Central Ave, Los Angeles, CA 90001, Estados Unidos","738 S Fetterly Ave, Los Angeles, CA 90022, Estados Unidos","Westfield Mall(2nd Floor next to macys, 6000 Sepulveda Blvd #2507, Culver City, CA 90230, Estados Unidos","6307 E Gage Ave, Commerce, CA 90040, Estados Unidos","905 S Prairie Ave Ste. D, Inglewood, CA 90301, Estados Unidos","1431 S Atlantic Blvd, East Los Angeles, Los Angeles, CA 90022, Estados Unidos","6200 E Gage Ave, Bell Gardens, CA 90201, Estados Unidos","14104 S Vermont Ave, Gardena, CA 90247, Estados Unidos","5161 Pomona Blvd # 105, East Los Angeles, CA 90022, Estados Unidos","2600 W Victory Blvd, Burbank, CA 91505, Estados Unidos","VRHM+76, Long Beach, CA 90605, Estados Unidos"
2902.0,3116.0,3004.0,3671.0,2871.0,3044.0,2719.0,2318.0,2630.0,2483.0,3033.0,3460.0,3222.0,2697.0,2509.0,2706.0,2369.0,2884.0,2326.0,2391.0,2281.0,2746.0,3727.0,2477.0
403.0,843.0,600.0,987.0,1018.0,617.0,863.0,1399.0,730.0,1123.0,908.0,812.0,1087.0,1112.0,1042.0,1569.0,1240.0,1724.0,946.0,1261.0,1280.0,1129.0,1079.0,2125.0
1913.0,1573.0,1676.0,2122.0,1712.0,1918.0,1690.0,1539.0,1607.0,1470.0,1440.0,2086.0,870.0,2019.0,1919.0,636.0,2124.0,1071.0,1830.0,2145.0,1401.0,2006.0,2320.0,3009.0
1331.0,1379.0,1373.0,636.0,1494.0,1515.0,1472.0,1893.0,1389.0,1617.0,1062.0,1470.0,1128.0,1606.0,1701.0,1609.0,1906.0,1998.0,1612.0,1927.0,1774.0,1788.0,1867.0,2791.0
1943.0,1643.0,1706.0,2192.0,1782.0,1988.0,1760.0,2042.0,1677.0,1881.0,1510.0,2024.0,997.0,1870.0,1989.0,1117.0,2194.0,1548.0,1900.0,2215.0,1904.0,2076.0,2258.0,3079.0
1061.0,1339.0,1134.0,545.0,1507.0,893.0,1142.0,1939.0,1156.0,1663.0,1436.0,772.0,1627.0,1652.0,1468.0,2109.0,1680.0,2264.0,1387.0,1701.0,1820.0,1555.0,1025.0,2565.0
633.0,912.0,706.0,1180.0,1130.0,487.0,925.0,1511.0,831.0,1235.0,917.0,1070.0,1199.0,1224.0,1326.0,1681.0,1341.0,1836.0,1047.0,1362.0,1392.0,1230.0,1337.0,2226.0
1126.0,1404.0,1199.0,1306.0,1571.0,877.0,1206.0,2004.0,1220.0,1728.0,1410.0,643.0,1692.0,1717.0,1532.0,2002.0,1744.0,2329.0,1451.0,1765.0,1885.0,1619.0,943.0,2629.0
2012.0,1712.0,1775.0,1601.0,1851.0,2057.0,1829.0,2198.0,1746.0,1950.0,1579.0,2207.0,790.0,1939.0,2058.0,1272.0,2263.0,1704.0,1969.0,2284.0,2060.0,2145.0,2234.0,3148.0
1120.0,1399.0,1193.0,1492.0,1617.0,974.0,1291.0,1998.0,1318.0,1722.0,1404.0,1107.0,1686.0,1711.0,1598.0,2168.0,1975.0,2323.0,1704.0,1959.0,1879.0,1680.0,1406.0,2210.0
