Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Insomnia Cookies (945 Westwood Boulevard),Boxes,6-pack,21.25,93.0,122,
Insomnia Cookies (945 Westwood Boulevard),Boxes,Deluxe 4-pack,23.75,100.0,17,
Insomnia Cookies (945 Westwood Boulevard),Boxes,Super 6,23.25,88.0,17,
Insomnia Cookies (945 Westwood Boulevard),Boxes,4+4-pack,36.25,100.0,9,
Insomnia Cookies (945 Westwood Boulevard),Boxes,12-pack,38.75,92.0,40,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Chocolate Chunk,4.0,100.0,32,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Snickerdoodle,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Classic with M&M'S®,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Double Chocolate Chunk,4.0,100.0,8,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Vegan Birthday Cake,4.0,100.0,5,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Sugar,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Gluten Free Chocolate Chip,4.0,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Peanut Butter Chip,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,White Chocolate Macadamia,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Oatmeal Raisin,4.0,100.0,9,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Double Chocolate Mint,4.0,100.0,3,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Vegan Chocolate Chunk,4.0,100.0,7,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Vegan Double Chocolate Chunk,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic Cookies,Lemon White Chocolate,4.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Confetti,6.5,100.0,7,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Chocolate Peanut Butter Cup,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,S'mores,6.5,100.0,12,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Salted Caramel,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Triple Chocolate,6.5,100.0,10,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Oatmeal Chocolate Walnut,6.5,100.0,3,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookies,Strawberry Basil Lemonade Filled Deluxe,7.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Brownies,Chocolate Chip Brownie,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Brownies,Chocolate Chunk Brookie,6.5,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Brownies,Chocolate Chunk Blondie,6.5,100.0,3,
Insomnia Cookies (945 Westwood Boulevard),Mini Cookies,Mini-pack,14.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream,Ice Cream in a Cup,8.5,100.0,11,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream,Pint,17.25,100.0,5,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream,Ice Cream on a Classic Cookie,10.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream,Ice Cream on a Brownie,12.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream,Ice Cream on a Deluxe Cookie,12.5,100.0,5,
Insomnia Cookies (945 Westwood Boulevard),Wiches,Cookie'wich,13.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Wiches,Deluxe Cookie'wich,20.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,Flower Cookie Cake,40.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,"6"" Cookie Cake",24.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,"6"" Deluxe Cookie Cake",29.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,"10"" Cookie Cake",40.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,"10"" Deluxe Cookie Cake",44.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie Cakes,Triple Threat Cookie Cake,38.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Whole Milk,5.25,83.0,24,
Insomnia Cookies (945 Westwood Boulevard),Drinks,2% Milk,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Oatly Chocolate Milk,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,DASANI® Water,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Oatly,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Diet Coke ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Monster Energy ®️,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Coca-Cola Zero Sugar ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Coca-Cola ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Sprite ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Powerade ®️,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Drinks,Fairlife® Strawberry Milk,5.25,,0,
Meet Fresh - Westwood,SIGNATURE SERIES,Icy Grass Jelly Signature,10.45,95.0,122,
Meet Fresh - Westwood,SIGNATURE SERIES,Double Taro Signature,10.45,86.0,38,
Meet Fresh - Westwood,SIGNATURE SERIES,Icy Taro Ball Signature,10.45,83.0,6,
Meet Fresh - Westwood,SIGNATURE SERIES,Hot Red Bean Soup Signature,10.45,97.0,37,
Meet Fresh - Westwood,SIGNATURE SERIES,Hot Grass Jelly Signature ,10.45,,0,
Meet Fresh - Westwood,SIGNATURE SERIES,Hot Almond Soup Signature,10.45,88.0,9,
Meet Fresh - Westwood,ICY TARO BALL,Icy Taro Ball Combo B,10.45,100.0,6,
Meet Fresh - Westwood,ICY TARO BALL,Icy Taro Ball Combo A,10.45,,0,
Meet Fresh - Westwood,ICY GRASS JELLY,Icy Grass Jelly Combo B,10.45,,0,
