Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Avocalia - Doctores,,Arma tu Ensalada,184.17,88.0,442,
Avocalia - Doctores,,Avocalia,250.83,,0,
Avocalia - Doctores,,Keto Burger,139.17,95.0,62,
Avocalia - Doctores,,Mediterralia,179.17,,0,
Avocalia - Doctores,,Consome de Pollo,85.83,75.0,60,
Avocalia - Doctores,,Libanolia,193.33,92.0,99,
Avocalia - Doctores,,Arabelia,121.67,,0,
Avocalia - Doctores,,Veranolia,215.0,100.0,20,
Avocalia - Doctores,,Marinalia,256.67,,0,
Avocalia - Doctores,,Zucalia,193.33,,0,
Avocalia - Doctores,,Selvalia,160.83,93.0,33,
Avocalia - Doctores,,Pollo & Aguacate,166.67,93.0,83,
Avocalia - Doctores,,Guacamole con chips,90.0,,0,
Avocalia - Doctores,,Almendria,211.67,100.0,14,
Avocalia - Doctores,,Topo Chico Mineral 600 ml,54.17,100.0,12,
Avocalia - Doctores,,Terralia,170.0,,0,
Avocalia - Doctores,,Falafel + hummus,89.17,100.0,10,
Avocalia - Doctores,,Verde,62.5,,0,
Avocalia - Doctores,,Orientalia,211.67,,0,
Avocalia - Doctores,,Tropical,82.5,,0,
Avocalia - Doctores,,Chilaquiles fit,112.5,83.0,6,
Avocalia - Doctores,,Bowl de avena,121.67,81.0,16,
Avocalia - Doctores,,Avocado Toast,115.83,85.0,7,
Avocalia - Doctores,,Bowl de fruta,58.33,76.0,17,
Avocalia - Doctores,,Huevos al gusto,103.33,57.0,7,
Avocalia - Doctores,,Espirulina Bowl,143.33,72.0,11,
Avocalia - Doctores,,Tropical chia bowl,143.33,80.0,10,
Avocalia - Doctores,,Oatmeal Pancakes,139.17,100.0,10,
Avocalia - Doctores,,Tostada Hummus Con Jitomate,100.0,,0,
Avocalia - Doctores,,Mexicalia,165.83,,0,
Avocalia - Doctores,,Ensalada Mexicalia - César Con Pollo,160.83,,0,
Avocalia - Doctores,,Parmesalia,205.83,,0,
Avocalia - Doctores,,Ensalada Parmesalia - César Con Pollo,188.33,90.0,32,
Avocalia - Doctores,,Bowl Avocalia - Balsámico Y Salmón,265.83,,0,
Avocalia - Doctores,,Girasolia,211.67,91.0,23,
Avocalia - Doctores,,Italia,179.17,100.0,37,
Avocalia - Doctores,,Parmesalia + Topo chico,229.17,91.0,12,
Avocalia - Doctores,,Sandwich + Topo Chico,193.33,88.0,9,
Avocalia - Doctores,,Combo Parmesalia x2,445.83,50.0,6,
Avocalia - Doctores,,Combo Detox,274.17,100.0,8,
Avocalia - Doctores,,Prosciutto & Alioli,188.33,,0,
Avocalia - Doctores,,Hongos Trufados & Gruyere,202.5,100.0,6,
Avocalia - Doctores,,Albóndigas de berenjena y salsa,103.33,86.0,15,
Avocalia - Doctores,,Totopos de maíz Horneados,35.83,80.0,10,
Avocalia - Doctores,,Sopa de Tortilla,98.33,76.0,13,
Avocalia - Doctores,,Jugo de Naranja Zanahoria,45.83,100.0,4,
Avocalia - Doctores,,Jugo Betabel Naranja Zanahoria,45.83,100.0,26,
Avocalia - Doctores,,Super Berries,140.83,100.0,4,
Avocalia - Doctores,,Sandia-limón,62.5,,0,
Avocalia - Doctores,,Limonalia,37.5,,0,
Avocalia - Doctores,,Naranjalia,45.83,,0,
Avocalia - Doctores,,Jugo De Toronja,45.83,100.0,9,
Avocalia - Doctores,,Ciel Natural 600 ml,37.5,100.0,3,
Avocalia - Doctores,,Coca-cola sin azúcar 400 ml,37.5,,0,
Avocalia - Doctores,,Shot Ultra Defensas,45.83,95.0,47,
Avocalia - Doctores,,Shot Energía,45.83,100.0,4,
Avocalia - Doctores,,Shot Inmunidad,45.83,,0,
Avocalia - Doctores,,Combo Anti-Gripa,115.83,100.0,15,
Freshlab - Doctores,,Arma tu Bowl,111.67,80.0,36,
Freshlab - Doctores,,Sándwich de Pavo,104.17,90.0,10,
Freshlab - Doctores,,Oatmeal Pancakes,110.0,88.0,25,
Freshlab - Doctores,,Protein Bowl,140.83,88.0,51,
Freshlab - Doctores,,Capresse,96.67,87.0,33,
Freshlab - Doctores,,Arma tu Healthy Bowl,136.67,94.0,51,
Freshlab - Doctores,,Combo Anti-Gripa,73.33,93.0,33,
Freshlab - Doctores,,Jugo de naranja,40.0,91.0,12,
