Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Porto's Bakery & Cafe,Breakfast,Chorizo & Cheese Breakfast Sandwich,4.17,,0,
Porto's Bakery & Cafe,Breakfast,Ham & Cheese Breakfast Croissant,4.17,,0,
Porto's Bakery & Cafe,Breakfast,Torrejas,15.83,,0,
Porto's Bakery & Cafe,Breakfast,Breakfast Wrap,7.5,,0,
Porto's Bakery & Cafe,Breakfast,Guacamole & Cheese Breakfast Croissant,4.17,,0,
Porto's Bakery & Cafe,Breakfast,Egg & Cheese Breakfast Croissant,7.5,,0,
Porto's Bakery & Cafe,Sandwiches,Medianoche (Midnight Sandwich),12.5,97.0,103,
Porto's Bakery & Cafe,Sandwiches,Grilled Chicken Sandwich,58.33,86.0,44,
Porto's Bakery & Cafe,Sandwiches,Steak Torta,79.17,,0,
Porto's Bakery & Cafe,Sandwiches,Turkey and Candied Bacon Sandwich,82.5,95.0,74,
Porto's Bakery & Cafe,Sandwiches,Chicken Torta,58.33,,0,
Porto's Bakery & Cafe,Sandwiches,Cubano (Cuban Sandwich),32.5,,0,
Porto's Bakery & Cafe,Sandwiches,Ropa Vieja Sandwich (Cuban-Style Stewed Beef),50.0,89.0,47,
Porto's Bakery & Cafe,Sandwiches,Pan con Lechon (Slow-Roasted Sandwich),50.0,90.0,33,
Porto's Bakery & Cafe,Sandwiches,Spicy Chicken Milanesa Sandwich,58.33,92.0,118,
Porto's Bakery & Cafe,Sandwiches,Ham and Cheese Croissant Sandwich,0.0,100.0,66,
Porto's Bakery & Cafe,Sandwiches,Turkey and Cheese Croissant Sandwich,0.0,91.0,86,
Porto's Bakery & Cafe,Sandwiches,Feta Sandwich,4.17,82.0,35,
Porto's Bakery & Cafe,Platos Cubanos,Plato de Pollo (Grilled Citrus Chicken Breast),20.83,,0,
Porto's Bakery & Cafe,Platos Cubanos,Plato de Lechon (Slow-Roasted Pork),20.83,,0,
Porto's Bakery & Cafe,Platos Cubanos,Plato de Ropa Vieja (Cuban-Style Stewed Beef),20.83,94.0,51,
Porto's Bakery & Cafe,House-Made Soups,Potato Leek Soup,7.5,85.0,7,
Porto's Bakery & Cafe,House-Made Soups,Potato Leek Soup With Bread Bowl,4.17,60.0,5,
Porto's Bakery & Cafe,House-Made Soups,Black Beans Soup Cuban-Style,7.5,,0,
Porto's Bakery & Cafe,Salads,Rustic Chopped Chicken Salad,40.83,,0,
Porto's Bakery & Cafe,Salads,Summer Harvest Salad,20.83,,0,
Porto's Bakery & Cafe,Salads,Summer Harvest Salad With Chicken,54.17,,0,
Porto's Bakery & Cafe,Salads,Grilled Chicken Cilantro Caesar Salad,15.83,,0,
Porto's Bakery & Cafe,Salads,Cilantro Caesar Salad,4.17,96.0,27,
Porto's Bakery & Cafe,Breads,Brioche Buns,4.17,100.0,17,
Porto's Bakery & Cafe,Breads,Sourdough Batard,7.5,93.0,30,
Porto's Bakery & Cafe,Breads,French Baguette,4.17,88.0,18,
Porto's Bakery & Cafe,Breads,Cuban Crackers (Galletas),7.5,100.0,15,
