Store,Product,Price,Rating,Number of Reviews,Calories
Insomnia Cookies (945 Westwood Boulevard),6-pack,21.25,93.0,122,
Insomnia Cookies (945 Westwood Boulevard),Super 6,23.25,88.0,17,
Insomnia Cookies (945 Westwood Boulevard),Deluxe 4-pack,23.75,100.0,17,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream in a Cup,8.5,100.0,11,
Insomnia Cookies (945 Westwood Boulevard),2% Milk,5.25,,0,
Insomnia Cookies (945 Westwood Boulevard),12-pack,38.75,92.0,40,
Insomnia Cookies (945 Westwood Boulevard),S'mores,6.5,100.0,14,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Brownie,12.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Salted Caramel,6.5,100.0,15,
Insomnia Cookies (945 Westwood Boulevard),Confetti,6.5,100.0,7,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Peanut Butter Cup,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Cookie'wich,13.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Whole Milk,5.25,83.0,24,
Insomnia Cookies (945 Westwood Boulevard),Triple Chocolate,6.5,100.0,10,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Chip Brownie,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Strawberry Basil Lemonade Filled Deluxe,7.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Classic Cookie,10.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Deluxe Cookie,12.5,100.0,6,
Insomnia Cookies (945 Westwood Boulevard),Pint,17.25,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Oatly,5.75,,0,
Insomnia Cookies (945 Westwood Boulevard),6-pack,21.25,93.0,122,
Insomnia Cookies (945 Westwood Boulevard),Deluxe 4-pack,23.75,100.0,17,
Insomnia Cookies (945 Westwood Boulevard),Super 6,23.25,88.0,17,
Insomnia Cookies (945 Westwood Boulevard),4+4-pack,36.25,100.0,9,
Insomnia Cookies (945 Westwood Boulevard),12-pack,38.75,92.0,40,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Chunk,4.0,100.0,24,
Insomnia Cookies (945 Westwood Boulevard),Snickerdoodle,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Classic with M&M'S®,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Double Chocolate Chunk,4.0,100.0,8,
Insomnia Cookies (945 Westwood Boulevard),Vegan Birthday Cake,4.0,100.0,5,
Insomnia Cookies (945 Westwood Boulevard),Sugar,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Gluten Free Chocolate Chip,4.0,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Peanut Butter Chip,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),White Chocolate Macadamia,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Oatmeal Raisin,4.0,100.0,9,
Insomnia Cookies (945 Westwood Boulevard),Double Chocolate Mint,4.0,100.0,5,
Insomnia Cookies (945 Westwood Boulevard),Vegan Chocolate Chunk,4.0,100.0,7,
Insomnia Cookies (945 Westwood Boulevard),Vegan Double Chocolate Chunk,4.0,,0,
Insomnia Cookies (945 Westwood Boulevard),Lemon White Chocolate,4.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Confetti,6.5,100.0,7,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Peanut Butter Cup,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),S'mores,6.5,100.0,14,
Insomnia Cookies (945 Westwood Boulevard),Salted Caramel,6.5,100.0,15,
Insomnia Cookies (945 Westwood Boulevard),Triple Chocolate,6.5,100.0,10,
Insomnia Cookies (945 Westwood Boulevard),Oatmeal Chocolate Walnut,6.5,100.0,3,
Insomnia Cookies (945 Westwood Boulevard),Strawberry Basil Lemonade Filled Deluxe,7.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Chip Brownie,6.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Chunk Brookie,6.5,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Chocolate Chunk Blondie,6.5,100.0,3,
Insomnia Cookies (945 Westwood Boulevard),Mini-pack,14.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream in a Cup,8.5,100.0,11,
Insomnia Cookies (945 Westwood Boulevard),Pint,17.25,100.0,4,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Classic Cookie,10.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Brownie,12.5,,0,
Insomnia Cookies (945 Westwood Boulevard),Ice Cream on a Deluxe Cookie,12.5,100.0,6,
Insomnia Cookies (945 Westwood Boulevard),Cookie'wich,13.75,,0,
Insomnia Cookies (945 Westwood Boulevard),Deluxe Cookie'wich,20.25,,0,
Insomnia Cookies (945 Westwood Boulevard),Flower Cookie Cake,40.5,,0,
Insomnia Cookies (945 Westwood Boulevard),"6"" Cookie Cake",24.75,,0,
Insomnia Cookies (945 Westwood Boulevard),"6"" Deluxe Cookie Cake",29.0,,0,
Insomnia Cookies (945 Westwood Boulevard),"10"" Cookie Cake",40.5,,0,
