Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Berry Pot,6.25,80.0,26,30.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Granola Cup,6.25,85.0,14,320.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Keen Greens Smoothie,9.54,85.0,28,290.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Protein PB & Blueberry Smoothie,9.54,100.0,21,290.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Almond Oatmeal,6.0,74.0,27,280.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Berry Brekkie Smoothie,9.54,96.0,30,190.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Vanilla Protein & PB Overnight Oats,6.25,75.0,8,360.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Granola and Berries,6.71,,0,376.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Protein Vanilla Smoothie,9.54,100.0,5,269.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Banana,1.33,87.0,8,105.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Almond Butter Chia Pudding,6.25,83.0,6,340.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Protein Mocha Smoothie,10.08,100.0,5,340.0
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Djerf Avenue Lavender Matcha Latte,6.17,,0,
Bluestone Lane Coffee - Westwood Blvd,Aussie Faves,Djerf Avenue Iced Lavender Matcha Latte,7.13,,0,
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Cappuccino,4.67,84.0,33,100.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Latte,4.67,90.0,84,120.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Chai Latte,4.67,100.0,23,145.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Hot Brew,3.79,80.0,21,0.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Espresso,3.58,,0,0.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Mocha,4.79,73.0,15,120.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Flat White,4.67,80.0,20,100.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Magic,4.42,100.0,4,90.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Hot Milo,4.33,,0,190.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Hot Chocolate,4.67,100.0,3,135.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Macchiato,3.71,66.0,3,50.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Long Black,3.71,,0,0.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Bambiccino,1.5,,0,35.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Hot,Piccolo,4.21,,0,75.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Latte,5.42,93.0,73,120.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Cold Brew,4.67,97.0,36,0.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Draught Flat White w/ Califia Oat Milk,5.67,88.0,26,120.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Chai Latte,5.67,90.0,22,290.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Mocha,5.67,100.0,12,270.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Magic,4.42,87.0,8,90.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Cold Brew Float,5.42,,0,170.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Milo,4.79,,0,325.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Aussie Iced Latte,5.75,,0,260.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Draught Nitro Cold Brew,5.21,90.0,11,0.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Aussie Iced Chocolate,5.67,,0,275.0
Bluestone Lane Coffee - Westwood Blvd,Coffee - Cold,Iced Long Black,3.96,,0,0.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Sunshine Burrito,10.08,87.0,89,440.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Avocado Toast,8.88,90.0,116,256.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,"Bacon, Egg & Cheese Croissant",10.08,91.0,92,408.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Clean & Lean Protein Bowl,11.04,97.0,36,344.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,"Bacon, Egg & Cheese Sandwich",10.08,88.0,9,496.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Feel Good Salad,11.04,83.0,12,408.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Avocado Toast with the Lot,11.04,88.0,52,320.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Egg & Cheese w/ Greens Croissant,9.54,96.0,29,352.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Salmon Toast,9.54,94.0,38,272.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Egg & Cheese w/ Greens Sandwich,9.54,83.0,18,440.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Peanut Butter & Berry Toast,6.67,71.0,14,296.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Toast Bar,4.79,75.0,8,312.0
Bluestone Lane Coffee - Westwood Blvd,All Day Menu,Banana Toast,6.67,97.0,34,392.0
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Blueberry Muffin,4.79,100.0,23,
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Banana Bread Slice,4.58,100.0,7,
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Chocolate Croissant,4.79,100.0,11,340.0
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Plain Croissant,4.33,84.0,19,300.0
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Chocolate Chip Cookie,4.79,93.0,15,350.0
Bluestone Lane Coffee - Westwood Blvd,Pastries & Snacks,Almond Croissant,4.79,81.0,11,430.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Iced Matcha Latte,6.38,94.0,35,120.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Matcha Latte,5.42,84.0,13,60.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Golden Latte,5.42,71.0,7,70.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Iced Golden Latte,6.38,57.0,7,140.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Lemongrass & Ginger,4.04,80.0,5,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Iced Melbourne Breakfast Tea,4.42,100.0,3,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Beet Latte,5.42,,0,60.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Iced Spring Trellis Tea,4.42,100.0,6,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Iced Beet Latte,6.38,100.0,3,120.0
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Sencha Green,4.04,,0,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Melbourne Breakfast,4.04,,0,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Chamomile,4.04,,0,
Bluestone Lane Coffee - Westwood Blvd,Organic Teas & Wellness,Earl Grey,4.04,,0,
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Portsea Juice (12oz),8.83,100.0,9,70.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Torquay Juice (12oz),8.83,100.0,6,110.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Perricone Farms Orange Juice,5.75,,0,
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Acqua Panna Spring Water 250ml,2.67,,0,0.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Open Water (16oz),2.42,,0,0.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Fitzroy Juice (12oz),8.83,,0,100.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,San Pellegrino Sparkling Water 250ml,2.67,100.0,4,0.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Poppi Strawberry Lemon Soda 12 Fl Oz,3.38,,0,25.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Poppi Cherry Limeade Soda 12 Fl Oz,3.38,,0,25.0
Bluestone Lane Coffee - Westwood Blvd,Juices & Beverages,Poppi Cherry DocPop 12 Fl Oz,3.38,,0,25.0
Bluestone Lane Coffee - Westwood Blvd,Coffee Boxes,Hot Brew Box (96oz),38.33,,0,10.0
Bluestone Lane Coffee - Westwood Blvd,Coffee Boxes,Cold Brew Box (96oz),38.33,,0,10.0
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Flagstaff (Filter Blend),15.33,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Maverick (Espresso Blend),15.33,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Califia Oat Milk 1QT,6.71,,0,110.0
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Riptide Capsules,9.42,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Decaf Colombian,15.33,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Bayside (Blonde Roast) 12oz,15.33,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Maverick Capsules,9.42,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Riptide (Dark Roast) 12oz,15.33,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Bayside Capsules,9.42,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Decaf Capsules,9.42,,0,
Bluestone Lane Coffee - Westwood Blvd,At Home Coffee & Packs,Califia Almond Milk 1QT,6.71,,0,55.0
Bluestone Lane Coffee - Westwood Blvd,BL Merchandise,Bluestone Lane KeepCup,23.96,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),For a Limited Time Only!,Passionfruit Arnold Palmer,3.82,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),For a Limited Time Only!,Passionfruit Iced Tea,3.82,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),For a Limited Time Only!,Passionfruit Lemonade,5.47,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),For a Limited Time Only!,Choco Hazelnut Berries n Cream Pancakes,14.97,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),For a Limited Time Only!,Choco Hazelnut Banana Bundt,5.16,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Bakery,Muffins,4.12,100.0,5,
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Bakery,Chocolate Croissant,5.26,71.0,7,
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Bakery,Morning Rush,6.92,,0,410.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Bakery,Cinnamon Roll,4.74,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,Power Breakfast Egg Bowl,12.49,90.0,11,
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,Anaheim Scrambler,13.12,100.0,4,600.0
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,Bacon Avocado Egg Bowl,11.97,100.0,3,
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,All American Scrambler,11.97,,0,400.0
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,Buttermilk Pancakes,12.49,,0,630.0
Corner Bakery Cafe (1019 S Westwood Blvd),Morning Favorites,Garden Gate Scrambler (V),9.7,,0,370.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,Anaheim Panini,9.7,80.0,5,590.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,Avocado & Spinach Breakfast Wrap (V),8.67,33.0,3,500.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,Bacon & Cheddar Panini,10.02,,0,620.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,"Bacon, Egg & Cheddar Breakfast Wrap",12.18,,0,570.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,BBLT & Egg Sandwich,11.97,,0,840.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,"Sausage, Egg & Cheddar Breakfast Wrap",10.02,,0,540.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sandwiches,Bacon & Egg Croissant,10.33,,0,640.0
Corner Bakery Cafe (1019 S Westwood Blvd),Oatmeals & Yogurt,Fresh Berry & Yogurt Parfait,8.05,100.0,7,370.0
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sides,Side of Eggs,4.95,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sides,Side of Bacon,4.74,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Breakfast Sides,Side of Buttermilk Pancakes,6.4,,0,390.0
Corner Bakery Cafe (1019 S Westwood Blvd),Family Meal,Family Meals,51.66,,0,2000.0
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Harvest,11.46,100.0,3,400.0
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Turkey Avocado Cobb,11.46,100.0,6,
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Chopped,11.46,,0,420.0
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Caesar,9.18,,0,310.0
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Mixed Greens,6.92,,0,240.0
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Power Greens & Grains Salad (V),11.46,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Fresh Salads,Berry Pecan,10.33,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Choose Any Two,Choose Two,14.46,80.0,20,500.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,Uptown Turkey Avocado,13.63,100.0,3,730.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,BBLT,13.12,,0,740.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,Chicken Pesto,14.25,,0,750.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,Albacore Tuna Salad Sandwich,11.46,,0,610.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,Carved Ham & Swiss,13.63,66.0,3,560.0
Corner Bakery Cafe (1019 S Westwood Blvd),Signature Sandwiches,Tomato Mozzarella,12.49,,0,760.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Side of Toasted Garlic Bread,0.82,86.0,29,160.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Chicken Rosa Pasta,11.97,100.0,4,
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Pesto Cavatappi,11.46,,0,750.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Shrimp Scampi Linguine,13.63,100.0,3,690.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Mac & Cheese,9.18,,0,770.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Chicken Carbonara,11.46,,0,800.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Bacon Tomato Mac & Cheese,10.33,,0,850.0
Corner Bakery Cafe (1019 S Westwood Blvd),Handcrafted Pastas,Cavatappi Marinara,9.39,,0,500.0
Corner Bakery Cafe (1019 S Westwood Blvd),Panini & Hot Sandwiches,Chicken Pomodori,14.46,100.0,4,800.0
Corner Bakery Cafe (1019 S Westwood Blvd),Panini & Hot Sandwiches,Meatball,14.25,,0,940.0
Corner Bakery Cafe (1019 S Westwood Blvd),Panini & Hot Sandwiches,Club,12.8,66.0,3,830.0
Corner Bakery Cafe (1019 S Westwood Blvd),Panini & Hot Sandwiches,Tuscan Grilled Cheese (V),11.05,100.0,4,
Corner Bakery Cafe (1019 S Westwood Blvd),Panini & Hot Sandwiches,Rustic Italian,11.97,,0,1050.0
Corner Bakery Cafe (1019 S Westwood Blvd),Soups,Chicken Noodle Soup,7.23,80.0,5,190.0
Corner Bakery Cafe (1019 S Westwood Blvd),Soups,Cheddar Broccoli Soup,7.23,,0,310.0
Corner Bakery Cafe (1019 S Westwood Blvd),Soups,Loaded Baked Potato Soup,7.23,,0,430.0
Corner Bakery Cafe (1019 S Westwood Blvd),Soups,Roasted Tomato Basil Soup,7.23,,0,180.0
Corner Bakery Cafe (1019 S Westwood Blvd),Soups,Chicken Orzo Soup,7.23,,0,360.0
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Fountain Soda,3.71,,0,0.0
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Arnold Palmer,3.82,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Hand-Roasted Coffee,3.3,,0,0.0
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Bottled Orange Juice,4.12,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Old-Fashioned Lemonade,3.92,,0,120.0
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Iced Coffee,3.61,,0,
Corner Bakery Cafe (1019 S Westwood Blvd),Drinks,Bottled Water,3.3,,0,
