Store Name,Category,Product Name,Price,Rating,Number of Reviews,Calories
Starbucks,Hot Coffees,Caffè Latte,4.62,,0,100.0
Starbucks,Hot Coffees,Caffè Americano,3.96,,0,5.0
Starbucks,Hot Coffees,Cappuccino,4.62,,0,70.0
Starbucks,Hot Coffees,Caramel Macchiato,5.13,,0,120.0
Starbucks,Hot Coffees,Caffè Mocha,5.13,,0,200.0
Starbucks,Hot Coffees,White Chocolate Mocha,5.38,,0,230.0
Starbucks,Hot Coffees,Starbucks® Blonde Vanilla Latte,5.38,,0,130.0
Starbucks,Hot Coffees,Cinnamon Dolce Latte,5.38,,0,190.0
Starbucks,Hot Coffees,Featured Medium Roast Pike Place® Roast,3.12,,0,10.0
Starbucks,Hot Coffees,Flat White,5.13,,0,110.0
Starbucks,Hot Coffees,Espresso Macchiato,3.46,,0,10.0
Starbucks,Hot Coffees,Caffè Misto,3.96,,0,50.0
Starbucks,Hot Coffees,Featured Dark Roast Caffè Verona®,3.12,,0,10.0
Starbucks,Hot Coffees,Featured Decaf Roast Decaf Pike Place® Roast,3.12,,0,10.0
Starbucks,Hot Coffees,Veranda Blend® Clover Vertica™,3.12,,0,10.0
Starbucks,Hot Coffees,Clover Vertica Odyssey Blend,3.12,,0,10.0
Starbucks,Hot Coffees,Lavender Oatmilk Latte,5.38,,0,110.0
Starbucks,Cold Coffees,Iced Shaken Espresso,4.79,,0,80.0
Starbucks,Cold Coffees,Iced Caffè Latte,4.96,,0,100.0
Starbucks,Cold Coffees,Iced Starbucks® Blonde Vanilla Latte,5.62,,0,140.0
Starbucks,Cold Coffees,Starbucks® Cold Brew Coffee,4.79,,0,5.0
Starbucks,Cold Coffees,Vanilla Sweet Cream Cold Brew,5.21,,0,90.0
Starbucks,Cold Coffees,Iced White Chocolate Mocha,5.79,,0,290.0
Starbucks,Cold Coffees,Iced Brown Sugar Oatmilk Shaken Espresso,5.96,,0,100.0
Starbucks,Cold Coffees,Iced Caramel Macchiato,5.46,,0,180.0
Starbucks,Cold Coffees,Starbucks® Iced Coffee Blend,4.29,,0,0.0
Starbucks,Cold Coffees,Iced Caffè Americano,3.96,,0,10.0
Starbucks,Cold Coffees,Salted Caramel Cream Cold Brew,5.79,,0,190.0
Starbucks,Cold Coffees,Iced Caffè Mocha,5.46,,0,260.0
Starbucks,Cold Coffees,Iced Cinnamon Dolce Latte,5.62,,0,240.0
Starbucks,Cold Coffees,Chocolate Cream Cold Brew,5.79,,0,190.0
Starbucks,Cold Coffees,Iced Flat White,5.46,,0,110.0
Starbucks,Cold Coffees,White Chocolate Macadamia Cream Cold Brew,5.79,,0,160.0
Starbucks,Cold Coffees,Iced Hazelnut Oatmilk Shaken Espresso,5.96,,0,100.0
Starbucks,Cold Coffees,Iced Almondmilk Honey Flat White,5.96,,0,100.0
Starbucks,Cold Coffees,Iced LavenderOatmilk Latte,5.62,,0,160.0
Starbucks,Starbucks Refreshers™ Beverages,Summer-Berry Lemonade Starbucks Refreshers® Beverage,6.46,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Summer Skies Drink Starbucks Refreshers® Beverage,6.46,,0,100.0
Starbucks,Starbucks Refreshers™ Beverages,Summer-Berry Starbucks Refreshers® Beverage,5.96,,0,70.0
Starbucks,Starbucks Refreshers™ Beverages,Strawberry Açaí Lemonade Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Mango Dragonfruit Lemonade Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Pineapple Passionfruit Lemonade Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Spicy Strawberry,5.62,,0,150.0
Starbucks,Starbucks Refreshers™ Beverages,Spicy Dragonfruit,5.62,,0,150.0
Starbucks,Starbucks Refreshers™ Beverages,Spicy Pineapple,5.62,,0,150.0
Starbucks,Starbucks Refreshers™ Beverages,Pink Drink Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Dragon Drink® Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Paradise Drink Starbucks Refreshers® Beverage,5.21,,0,110.0
Starbucks,Starbucks Refreshers™ Beverages,Strawberry Açaí Starbucks Refreshers® Beverage,4.96,,0,80.0
Starbucks,Starbucks Refreshers™ Beverages,Mango Dragonfruit Starbucks Refreshers® Beverage,4.96,,0,70.0
Starbucks,Starbucks Refreshers™ Beverages,Pineapple Passionfruit Starbucks Refreshers® Beverage,4.96,,0,80.0
Starbucks,Frappuccino® Blended Beverages,Caramel Frappuccino® Blended Beverage,5.79,,0,260.0
Starbucks,Frappuccino® Blended Beverages,Matcha Crème Frappuccino® Blended Beverage,5.79,,0,300.0
Starbucks,Frappuccino® Blended Beverages,Coffee Frappuccino® Blended Beverage,5.46,,0,160.0
Starbucks,Frappuccino® Blended Beverages,Caramel Ribbon Crunch Frappuccino® Blended Beverage,5.96,,0,330.0
Starbucks,Frappuccino® Blended Beverages,Java Chip Frappuccino® Blended Beverage,5.79,,0,320.0
Starbucks,Frappuccino® Blended Beverages,Vanilla Bean Crème Frappuccino® Blended Crème,5.46,,0,260.0
Starbucks,Frappuccino® Blended Beverages,Mocha Cookie Crumble Frappuccino®,5.96,,0,350.0
Starbucks,Frappuccino® Blended Beverages,Mocha Frappuccino® Blended Beverage,5.79,,0,250.0
